"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Tanzania","2010-2019",0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375
"Thailand","2010-2019",0.242213883336472,0.363320825004708,0.24221388,0.27652276,0.29019837,0.34509919,0.36332083,0.30039674900625
"Turkey","1990-1999",0.595829787318557,0.794439716424743,0.59582979,0.64548227,0.69513475,0.74478723,0.79443972,0.69513475187165
"Turkey","2000-2009",0.22616042916203,4.4,0.22616043,0.89374468,1.73235917,1.97874824,4.4,1.73235917002672
"Turkey","2010-2019",4.42315712317861,5.1576061280613,4.42315712,4.53807867,4.71400845,4.92812483,5.15760613,4.71400845336764
"United Kingdom","2000-2009",12.5886499,26.1,12.5886499,16.1,17.8,24.2,26.1,19.65
"United Kingdom","2010-2019",9.86173321722316,22.6,9.86173322,14.8,17.043125,20.95,22.6,17.5822687
"United States","1920-1929",0.0520338469767815,0.0520338469767815,0.05203385,0.05203385,0.05203385,0.05203385,0.05203385,0.0520338469767815
"United States","1930-1939",0.0697126282799501,0.0697126282799501,0.06971263,0.06971263,0.06971263,0.06971263,0.06971263,0.0697126282799501
"United States","1940-1949",0.325760558605519,3.1,0.32576056,1.01932042,1.71288028,2.40644014,3.1,1.71288027930276
"United States","1950-1959",0.732983781512194,4.76132282244868,0.73298378,2.46649189,4.2,4.48066141,4.76132282,4.2
"United States","1960-1969",1.58662135981228,9.4,1.58662136,5.49665534,7.35977365,8.28966047,9.4,7.35977364943876
"United States","1970-1979",3.08381529628456,15.374816051308,3.0838153,7.47432037,8.95890697,10.20929045,15.37481605,9.00911246056197
"United States","1980-1989",2.30383319682297,12.7043693257889,2.3038332,8.12246605,9.10645445,10.9609816,12.70436933,9.10645445255031
"United States","1990-1999",7.50832172324326,17.2647227194664,7.50832172,8.90552866,10.09444644,10.98511373,17.26472272,9.8489443714348
"United States","2000-2009",8.40689365279529,18.0166654155093,8.40689365,12.25985115,13.48808665,16.67360609,18.01666542,13.4880866474686
"United States","2010-2019",6.84799322671215,14.9747382676181,6.84799323,11.43548559,13.43815091,13.99808265,14.97473827,13.5625526882129
"Uruguay","2000-2009",1.85,6,1.85,2.26705159,2.41653912,4.2325,6,2.41653911676566
"Uruguay","2010-2019",1.83,7.06,1.83,3.7125,4.755,5.6425,7.06,4.755
"Wales","1960-1969",5.3,7.23514211886305,5.3,5.78236434,6.17157623,6.60878553,7.23514212,6.17157622739018
"Wales","1970-1979",3.2,10.077519379845,3.2,5.76078811,6.84754522,7.49838501,10.07751938,6.84754521963824
"Wales","1980-1989",4.6,8.9,4.6,5.925,6.55,7.15,8.9,6.55
